name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,snapshot_date
Kingston FURY Renegade 256 GB,627.9,"4, 3200","8, 32",2.453,Black,10.0,16.0,2023-08-06
Kingston FURY Impact 64 GB,143.99,"4, 3200","2, 32",2.25,Black,12.5,20.0,2023-08-06
Crucial CT16G4SFD824A 16 GB,38.81,"4, 2400","1, 16",2.426,Black / Green,14.167,17.0,2023-08-06
Thermaltake TOUGHRAM RGB 16 GB,129.16,"4, 4400","2, 8",8.072,Black / Silver,8.636,19.0,2023-08-06
TEAMGROUP T-Force Zeus 16 GB,29.99,"4, 3200","2, 8",1.874,Red / Black,13.75,22.0,2023-08-06
Mushkin Redline Lumina 16 GB,71.98,"4, 3600","2, 8",4.499,White,10.0,18.0,2023-08-06
Silicon Power SP008GBSFU266X02 8 GB,15.97,"4, 2666","1, 8",1.996,,14.254,19.0,2023-08-06
GeIL EVO X II 32 GB,64.99,"4, 3000","2, 16",2.031,Black,10.667,16.0,2023-08-06
Crucial Ballistix 32 GB,182.19,"4, 3000","2, 16",5.693,Black,10.667,16.0,2023-08-06
G.Skill Trident Z RGB 32 GB,229.08,"4, 4000","2, 16",7.159,Black,8.5,17.0,2023-08-06
Kingston Fury Renegade RGB 16 GB,58.45,"4, 3600","1, 16",3.653,Black,8.889,16.0,2023-08-06
PROXMEM UNDERWORLD TUF 32 GB,134.99,"5, 6800","2, 16",4.218,Black / Gray,10.0,34.0,2023-08-06
PROXMEM KERBEROS TUF 32 GB,129.99,"5, 6400","2, 16",4.062,Black / Silver,10.0,32.0,2023-08-06
G.Skill Ripjaws V 64 GB,534.85,"4, 3600","4, 16",8.357,Black,7.778,14.0,2023-08-06
Mushkin Redline Lumina 32 GB,93.99,"4, 4000","2, 16",2.9370000000000003,Black,9.0,18.0,2023-08-06
Kingston FURY Renegade 32 GB,91.37,"4, 2666","4, 8",2.855,Black,9.752,13.0,2023-08-06
Crucial CT4G4DFS6266 4 GB,41.88,"4, 2666","1, 4",10.47,Green,14.254,19.0,2023-08-06
Patriot Signature Line 32 GB,79.98,"5, 4800","1, 32",2.499,Black,19.167,46.0,2023-08-06
G.Skill F3-12800CL9S-2GBSQ 2 GB,11.15,"3, 1600","1, 2",5.575,Green,11.25,9.0,2023-08-06
Mushkin Essentials 16 GB,27.89,"3, 1600","2, 8",1.743,Black / Green,13.75,11.0,2023-08-06
G.Skill Trident Z Royal 16 GB,139.99,"4, 3200","2, 8",8.749,Gold,8.75,14.0,2023-08-06
TEAMGROUP T-Force Xtreem ARGB 16 GB,109.99,"4, 3200","2, 8",6.874,Black,10.0,16.0,2023-08-06
Silicon Power SP008GBLFU213B02 8 GB,20.73,"4, 2133","1, 8",2.591,,14.065,15.0,2023-08-06
TEAMGROUP Elite Plus 64 GB,159.99,"5, 5200","2, 32",2.5,Silver,16.154,42.0,2023-08-06
Kingston ValueRAM 2 GB,19.23,"2, 800","1, 2",9.615,Green,12.5,5.0,2023-08-06
Crucial CT2KIT25664BA160B 4 GB,23.0,"3, 1600","2, 2",5.75,Green,13.75,11.0,2023-08-06
Kingston KVR16LN11K2/8 8 GB,62.36,"3, 1600","2, 4",7.795,Black / Green,13.75,11.0,2023-08-06
G.Skill Ripjaws V 32 GB,109.9,"4, 2666","4, 8",3.434,Black / Red,11.253,15.0,2023-08-06
Corsair Vengeance RGB 64 GB,464.94,"4, 2666","4, 16",7.265,Black,12.003,16.0,2023-08-06
Crucial CT2K8G4DFD824A 16 GB,75.0,"4, 2400","2, 8",4.688,Green,14.167,17.0,2023-08-06
Kingston KCP426NS6/4 4 GB,21.13,"4, 2666","1, 4",5.282,Green / Black,14.254,19.0,2023-08-06
GeIL Orion AMD Edition 16 GB,37.99,"4, 3200","2, 8",2.374,Red,10.0,16.0,2023-08-06
Addlink Spider 4 16 GB,42.44,"4, 3200","2, 8",2.652,Black,10.0,16.0,2023-08-06
Kingston ValueRAM 32 GB,76.48,"4, 2666","1, 32",2.39,Green,14.254,19.0,2023-08-06
Mushkin Redline Lumina 16 GB,57.38,"4, 4133","2, 8",3.586,Black,9.194,19.0,2023-08-06
G.Skill Trident Z Royal 16 GB,206.44,"4, 4400","2, 8",12.902,Silver,7.273,16.0,2023-08-06
Silicon Power SP008GBLFU240X02 8 GB,19.89,"4, 2400","1, 8",2.486,,14.167,17.0,2023-08-06
G.Skill Ripjaws X 8 GB,25.38,"3, 1333","2, 4",3.172,Black / Red,13.503,9.0,2023-08-06
Kingston ValueRAM 8 GB,25.27,"4, 2666","1, 8",3.159,Green,14.254,19.0,2023-08-06
TEAMGROUP Elite Plus 32 GB,84.99,"5, 5200","1, 32",2.656,Silver,16.154,42.0,2023-08-06
PNY Performance 16 GB,64.68,"4, 2666","1, 16",4.043,Black,14.254,19.0,2023-08-06
TEAMGROUP T-Create Classic 16 GB,27.99,"4, 3200","2, 8",1.749,Silver / Black,13.75,22.0,2023-08-06
PROXMEM SPEAR 32 GB,94.99,"5, 5200","2, 16",2.968,Black / Silver,15.385,40.0,2023-08-06
Corsair Vengeance Performance 16 GB,34.99,"4, 2666","1, 16",2.187,Black / Yellow,13.503,18.0,2023-08-06
Mushkin Essentials 32 GB,73.98,"4, 2133","2, 16",2.312,Black / Green,14.065,15.0,2023-08-06
Patriot Signature Line 16 GB,26.99,"4, 2666","1, 16",1.687,,14.254,19.0,2023-08-06
G.Skill Sniper X 64 GB,334.05,"4, 3600","4, 16",5.22,Silver / Camo,10.556,19.0,2023-08-06
Corsair Dominator Platinum RGB 16 GB,124.99,"4, 4000","2, 8",7.812,Black,9.0,18.0,2023-08-06
G.Skill Trident Z Neo 16 GB,124.0,"4, 2666","2, 8",7.75,Black / White,13.503,18.0,2023-08-06
G.Skill Ripjaws 4 8 GB,32.39,"4, 2400","2, 4",4.049,Red,12.5,15.0,2023-08-06
G.Skill Sniper X 32 GB,62.53,"4, 2400","2, 16",1.954,Black / Camo,14.167,17.0,2023-08-06
Crucial CT32G4RFD4266 32 GB,72.0,"4, 2666","1, 32",2.25,Green / Black,14.254,19.0,2023-08-06
G.Skill Trident Z Royal 16 GB,153.49,"4, 3200","2, 8",9.593,Silver,8.75,14.0,2023-08-06
G.Skill Trident Z Royal 16 GB,175.85,"4, 4400","2, 8",10.991,Silver,8.182,18.0,2023-08-06
G.Skill Trident Z Royal 64 GB,345.35,"4, 3600","8, 8",5.396,Silver,7.778,14.0,2023-08-06
TEAMGROUP T-Force Xtreem ARGB 16 GB,219.8,"4, 3200","2, 8",13.738,White,8.75,14.0,2023-08-06
G.Skill Ripjaws 16 GB,179.99,"3, 1600","4, 4",11.249,Black / Red,11.25,9.0,2023-08-06
Corsair CMV8GX3M2A1333C9 8 GB,44.99,"3, 1333","2, 4",5.624,Green,13.503,9.0,2023-08-06
Crucial CT2K16G3ERSDD4186D 32 GB,489.06,"3, 1866","2, 16",15.283,Green,13.934,13.0,2023-08-06
Kingston KCP316NS8/4 4 GB,25.18,"3, 1600","1, 4",6.295,Black / Green,13.75,11.0,2023-08-06
Mushkin Redline 16 GB,52.38,"4, 4000","2, 8",3.274,White,9.0,18.0,2023-08-06
Corsair Vengeance Performance 16 GB,39.99,"4, 2400","2, 8",2.499,Black,13.333,16.0,2023-08-06
Patriot Signature 8 GB,11.99,"3, 1600","1, 8",1.499,Black,13.75,11.0,2023-08-06
