name,price,capacity,price_per_gb,type,cache,form_factor,interface,snapshot_date
ADATA XPG SX8100,375.04,4000.0,0.094,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Nextorage NE5N,359.99,2000.0,0.18,SSD,,M.2-2280,M.2 PCIe 5.0 X4,2023-08-06
Seagate Exos X14,362.78,14000.0,0.026,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
TEAMGROUP T-Force Cardea Zero Z330,37.99,512.0,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Kingston SSDNow KC400,39.0,128.0,0.305,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Seagate IronWolf Pro,313.23,10000.0,0.031,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
TEAMGROUP T-Force Delta Max RGB Lite,44.99,512.0,0.088,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Red,172.99,6000.0,0.029,5400,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
Addlink S20,23.99,512.0,0.047,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Hitachi Ultrastar He10,195.92,10000.0,0.02,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
KingSpec XF-2280,31.99,512.0,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Sabrent Rocket,59.99,512.0,0.117,SSD,,M.2-2242,M.2 PCIe 3.0 X4,2023-08-06
