name,price,type,efficiency,wattage,modular,color,snapshot_date
SeaSonic PRIME Ultra Gold 750,158.99,ATX,gold,750,Full,Black,2023-08-06
Antec True Power,252.83,ATX,bronze,850,Full,,2023-08-06
Enermax Revolution D.F. X,169.99,ATX,gold,1050,Full,Black,2023-08-06
SeaSonic PRIME Ultra Platinum 850,359.99,ATX,platinum,850,Full,Black,2023-08-06
EVGA SuperNOVA 850 GA,350.0,ATX,gold,850,Full,,2023-08-06
Apevia AD,42.53,ATX,,500,False,Black,2023-08-06
Thermaltake Toughpower PF1 - TT Premium Edition,382.46,ATX,platinum,1050,Full,Black,2023-08-06
PC Power & Cooling Silencer,291.29,ATX,platinum,1200,Full,,2023-08-06
Apex SL-275TFX,45.95,TFX,,275,False,,2023-08-06
be quiet! Dark Power Pro 10,188.59,ATX,gold,650,Semi,,2023-08-06
Antec NeoECO V2,84.5,ATX,bronze,550,Semi,Black,2023-08-06
FSP Group Hydro PTM PRO,242.99,ATX,platinum,1000,Full,Black,2023-08-06
Super Flower Legion GX Pro,118.68,ATX,gold,750,Semi,Black,2023-08-06
Cooler Master eXtreme Power Plus,99.95,ATX,,500,False,,2023-08-06
Silverstone Essential,119.99,ATX,gold,750,Semi,Black / Blue,2023-08-06
Xilence XP1250MR9,597.0,ATX,gold,1250,Full,Black / Red,2023-08-06
Thermaltake Smart SE,155.0,ATX,,530,Semi,Black,2023-08-06
Enermax Revolution D.F. X,129.99,ATX,gold,850,Full,Black,2023-08-06
Thermaltake Toughpower GF2 ARGB,139.99,ATX,gold,650,Full,Black,2023-08-06
Super Flower Leadex VI Platinum PRO,179.99,ATX,platinum,850,Full,Black / Blue,2023-08-06
SeaSonic PRIME Platinum,300.35,ATX,platinum,1000,Full,,2023-08-06
SHARKOON SilentStorm,77.79,SFX,bronze,450,False,Black,2023-08-06
FSP Group Hydro PTM PRO,179.99,ATX,platinum,850,Full,Black,2023-08-06
Thermaltake Toughpower iRGB PLUS 1000 Platinum,410.99,ATX,platinum,1000,Full,Black,2023-08-06
Corsair HXi (2023),259.99,ATX,platinum,1000,Full,Black,2023-08-06
Rosewill Glacier 700M,134.99,ATX,bronze,700,Semi,,2023-08-06
Enermax Platimax D.F.,199.99,ATX,platinum,1050,Full,Black,2023-08-06
SeaSonic SSP-300TBS,77.16,TFX,bronze,300,False,Silver,2023-08-06
Super Flower Leadex III Super Pro,139.99,ATX,bronze,850,Full,Black,2023-08-06
Enermax MAXREVO SLI,299.99,ATX,gold,1350,Full,Black / Gold,2023-08-06
Xilence XP850MR9,131.09,ATX,gold,850,Semi,Black / Red,2023-08-06
Athena Power APOLLO 600,196.21,SFX,bronze,600,False,,2023-08-06
SeaSonic SS-300ES Bronze,104.44,ATX,bronze,300,False,,2023-08-06
Antec Earthwatts Green,108.11,ATX,plus,500,False,,2023-08-06
Sparkle FSP350-60GNV,69.99,SFX,,350,False,,2023-08-06
EVGA SuperNOVA 750 PQ,210.0,ATX,platinum,750,Semi,Black,2023-08-06
Rosewill VALENS-600,140.0,ATX,gold,600,False,,2023-08-06
FSP Group Hydro PTM PRO,159.99,ATX,platinum,750,Full,Black,2023-08-06
FSP Group FSP300-60SGV,79.98,TFX,gold,300,False,,2023-08-06
Kingwin ABT-1050MM,109.99,ATX,,1050,False,,2023-08-06
SeaSonic SS-850HT Silver,169.0,ATX,silver,850,False,,2023-08-06
EVGA SuperNOVA G FTW,219.99,ATX,gold,1000,Full,Black,2023-08-06
FSP Group FSP300-60LG-5K,153.74,Flex ATX,bronze,300,False,,2023-08-06
Rosewill Green,170.0,ATX,plus,530,False,,2023-08-06
Antec High Current Gamer,249.99,ATX,bronze,400,False,,2023-08-06
Super Flower Leadex Gold,308.68,ATX,gold,1300,Full,,2023-08-06
SeaSonic Platinum,134.69,ATX,bronze,600,False,,2023-08-06
StarTech ATX2PW500PRO,167.75,ATX,,500,False,,2023-08-06
SeaSonic SS-400ET Bronze,98.0,ATX,bronze,400,False,,2023-08-06
Apex AL-A400ATX,80.0,ATX,,400,False,,2023-08-06
XFX P1-750S-NLB9,165.0,ATX,bronze,750,False,,2023-08-06
Corsair RM750e (2023),99.99,ATX,gold,750,Full,Black,2023-08-06
Athena Power AP-MFATX50P8,136.99,Flex ATX,silver,500,False,,2023-08-06
Athena Power AP-MFATX40P8,117.85,Flex ATX,bronze,400,False,,2023-08-06
Corsair HXi (2023),399.99,ATX,platinum,1500,Full,Black,2023-08-06
FSP Group Hydro PTM PRO,129.99,ATX,platinum,650,Full,Black,2023-08-06
In Win PB,150.0,ATX,gold,750,Full,,2023-08-06
Topower ZU-550W,61.0,ATX,,550,False,,2023-08-06
Antec Earthwatts,124.98,ATX,bronze,500,False,,2023-08-06
Corsair AX650,250.0,ATX,gold,650,Full,,2023-08-06
Rosewill Green,80.0,ATX,plus,430,False,,2023-08-06
Enermax Revolution D.F. X,189.99,ATX,gold,1200,Full,Black,2023-08-06
Antec Basiq,200.0,ATX,plus,550,Semi,,2023-08-06
Antec Basiq,88.34,ATX,,350,False,,2023-08-06
CoolMax ZX-700,91.41,ATX,plus,700,False,,2023-08-06
In Win IP-S300FF1-0,62.5,TFX,plus,300,False,,2023-08-06
XFX TS,126.7,ATX,gold,550,False,,2023-08-06
Fractal Design Anode Bronze,185.13,ATX,bronze,750,Semi,Black,2023-08-06
Sparkle ATX-300PA,187.99,ATX,,300,False,,2023-08-06
Enermax MaxTytan,369.99,ATX,titanium,1050,Full,,2023-08-06
SeaSonic SS-600ES,95.0,ATX,bronze,600,False,Gray,2023-08-06
Cooler Master eXtreme Power Plus,99.95,ATX,,500,False,,2023-08-06
Sparkle ATX-350PN-B204,57.99,ATX,,350,False,,2023-08-06
Thermaltake German,114.0,ATX,plus,630,False,,2023-08-06
Fractal Design Anode Bronze,170.0,ATX,bronze,550,Semi,Black,2023-08-06
Xilence XP1050MR9,208.19,ATX,gold,1050,Full,Black / Red,2023-08-06
SeaSonic FOCUS,115.98,ATX,gold,550,Semi,Black,2023-08-06
SeaSonic PRIME Ultra Platinum 1000,390.31,ATX,platinum,1000,Full,Black,2023-08-06
PC Power & Cooling Silencer,194.99,ATX,platinum,1050,Full,,2023-08-06
Silverstone SFX,150.99,SFX,platinum,700,Full,,2023-08-06
Cougar VTE X2,82.98,ATX,plus,750,False,Black,2023-08-06
be quiet! Dark Power Pro 11,139.9,ATX,platinum,550,Semi,,2023-08-06
Logisys PS550E12BK,39.99,ATX,,550,False,,2023-08-06
Thermaltake Toughpower GF2 ARGB,127.48,ATX,gold,750,Full,Black,2023-08-06
ADATA XPG PYLON,181.0,ATX,bronze,450,False,Black,2023-08-06
Xilence XP650R9,160.0,ATX,gold,650,False,Black / Red,2023-08-06
be quiet! Straight Power 11 450W,286.17,ATX,gold,450,Full,,2023-08-06
Silverstone Strider,114.99,ATX,gold,550,Full,,2023-08-06
Thermaltake Smart BX1 RGB 650,136.83,ATX,bronze,650,False,Black,2023-08-06
Antec EARTHWATTS GOLD PRO 750,182.38,ATX,gold,750,Semi,Black,2023-08-06
Corsair AX850,499.99,ATX,gold,850,Full,,2023-08-06
In Win P85,129.62,ATX,gold,850,Full,Black,2023-08-06
Silverstone Strider Platinum,149.99,ATX,platinum,750,Full,,2023-08-06
ADATA XPG CYBERCORE,229.99,ATX,platinum,1000,Full,Black / Silver,2023-08-06
Super Flower Leadex III ARGB,168.68,ATX,gold,650,Full,White,2023-08-06
Cooler Master V1200,306.89,ATX,platinum,1200,Full,,2023-08-06
SHARKOON SilentStorm Cool Zero 850,140.03,ATX,gold,850,Full,Black,2023-08-06
Deepcool PX-G,239.99,ATX,gold,1200,Full,Black,2023-08-06
SeaSonic PRIME Ultra Titanium,645.0,ATX,titanium,650,Full,,2023-08-06
Silverstone Essential,119.99,ATX,gold,650,False,Black,2023-08-06
EVGA SuperNOVA 650 G7,124.99,ATX,gold,650,Full,Black / Blue,2023-08-06
Super Flower Leadex Platinum SE,249.99,ATX,platinum,1000,Full,Black,2023-08-06
