name,price,type,efficiency,wattage,modular,color,snapshot_date
Apevia Prestige,66.98,ATX,gold,800,false,Black,2023-12-17
EVGA SuperNOVA 650 GM,115.31,SFX,gold,650,Full,Black,2023-12-17
Cooler Master V850 SFX GOLD,129.99,SFX,gold,850,Full,White,2023-12-17
Lian Li SP850,122.5,SFX,gold,850,Full,White,2023-12-17
Corsair RMe (2023),159.99,ATX,gold,1200,Full,Black,2023-12-17
Thermaltake Toughpower GF1 - TT Premium,84.99,ATX,gold,650,Full,Black,2023-12-17
Cooler Master V750 SFX GOLD,120.0,SFX,gold,750,Full,Black,2023-12-17
Thermaltake Smart BM3,69.98,ATX,bronze,650,Semi,Black,2023-12-17
MSI MEG Ai1300P PCIE5,310.0,ATX,platinum,1300,Full,Black / Copper,2023-12-17
Corsair AX1200,799.0,ATX,gold,1200,Full,,2023-12-17
MSI MPG A850G PCIE5,134.99,ATX,gold,850,Full,Black,2023-12-17
NZXT C850 (2022),109.99,ATX,gold,850,Full,Black,2023-12-17
MSI MAG A650BN,62.98,ATX,bronze,650,false,Black,2023-12-17
Corsair RM750x (2021),119.99,ATX,gold,750,Full,Black,2023-12-17
Thermaltake Smart,49.98,ATX,plus,600,false,,2023-12-17
Corsair CX750M (2021),89.95,ATX,bronze,750,Semi,Black,2023-12-17
Cooler Master MWE Gold 850 - V2,95.99,ATX,gold,850,Full,Black,2023-12-17
Corsair RM850,139.99,ATX,gold,850,Full,White / Black,2023-12-17
Corsair SF750,169.99,SFX,platinum,750,Full,,2023-12-17
Corsair RM1000x (2021),189.99,ATX,gold,1000,Full,Black,2023-12-17
Thermaltake Smart,39.95,ATX,plus,500,false,,2023-12-17
Thermaltake Toughpower GX2,59.99,ATX,gold,600,false,Black,2023-12-17
Corsair CX650M (2021),79.98,ATX,bronze,650,Semi,Black,2023-12-17
Corsair RM1000e (2023),155.99,ATX,gold,1000,Full,Black,2023-12-17
Corsair RM850e (2023),117.99,ATX,gold,850,Full,Black,2023-12-17
Corsair RM850x (2021),149.99,ATX,gold,850,Full,Black,2023-12-17
Corsair RM750e (2023),99.99,ATX,gold,750,Full,Black,2023-12-17
SeaSonic FOCUS GX,141.1,ATX,gold,750,Full,Black,2023-12-17
be quiet! Pure Power 12 M,99.9,ATX,gold,750,Full,Black,2023-12-17
Corsair HX1200 Platinum,385.0,ATX,platinum,1200,Full,,2023-12-17
EVGA SuperNOVA 1000 GT,139.99,ATX,gold,1000,Full,Black,2023-12-17
Apevia Galaxy,54.99,ATX,gold,650,Semi,Black,2023-12-17
EVGA SuperNOVA 850 GT,109.99,ATX,gold,850,Full,Black,2023-12-17
Thermaltake Smart,54.99,ATX,plus,700,false,,2023-12-17
Corsair AX1600i,609.99,ATX,titanium,1600,Full,,2023-12-17
MSI MPG A650GF,102.99,ATX,gold,650,Full,Black,2023-12-17
Thermaltake Toughpower GF1 PE,109.99,ATX,gold,850,Full,Black,2023-12-17
MSI A1000G PCIE5,169.99,ATX,gold,1000,Full,Black,2023-12-17
Asus ROG Strix,144.99,ATX,gold,850,Full,White,2023-12-17
SeaSonic FOCUS Plus 750 Gold,99.99,ATX,gold,750,Full,,2023-12-17
EVGA SuperNOVA 750 GT,99.99,ATX,gold,750,Full,Black,2023-12-17
MSI MAG A850GL PCIE5,114.99,ATX,gold,850,Full,Black,2023-12-17
SeaSonic FOCUS PLUS 850 Gold,114.99,ATX,gold,850,Full,,2023-12-17
Apevia Prestige,51.99,ATX,gold,600,false,Black,2023-12-17
Asus ROG THOR 1600T Gaming,631.99,ATX,titanium,1600,Full,Silver / Black,2023-12-17
MSI MAG A750GL PCIE5,106.99,ATX,gold,750,Full,Black,2023-12-17
Corsair RM750,129.99,ATX,gold,750,Full,White / Black,2023-12-17
be quiet! Pure Power 12 M,99.9,ATX,gold,850,Full,Black,2023-12-17
Deepcool PM750D,97.99,ATX,gold,750,false,Black,2023-12-17
MSI MAG A650GL,96.99,ATX,gold,650,Full,Black,2023-12-17
Corsair HX1500i (2023),279.99,ATX,platinum,1500,Full,Black,2023-12-17
SeaSonic FOCUS Plus Platinum,179.99,ATX,platinum,850,Full,,2023-12-17
be quiet! System Power 10,138.06,ATX,bronze,550,false,Black,2023-12-17
Silverstone SX500-G,101.99,SFX,gold,500,Full,,2023-12-17
Lian Li SP850,122.5,SFX,gold,850,Full,Black,2023-12-17
Thermaltake Toughpower GF3 TT Premium,161.02,ATX,gold,1000,Full,Black,2023-12-17
be quiet! Dark Power Pro 13,379.9,ATX,titanium,1300,Full,Black,2023-12-17
EVGA GE,94.99,ATX,gold,800,false,Black,2023-12-17
be quiet! Straight Power 12,189.9,ATX,platinum,1200,Full,Black,2023-12-17
SeaSonic FOCUS GX,142.28,ATX,gold,650,Full,Black,2023-12-17
EVGA SuperNOVA 1300 GT,189.99,ATX,gold,1300,Full,Black,2023-12-17
Phanteks AMP v2,119.99,ATX,gold,1000,Full,Black,2023-12-17
be quiet! Dark Power 13,249.9,ATX,titanium,850,Full,Black,2023-12-17
SeaSonic VERTEX GX-1200,219.28,ATX,gold,1200,Full,Black / Silver,2023-12-17
SeaSonic PRIME TX,501.8,ATX,titanium,1600,Full,Black / Silver,2023-12-17
EVGA 750 GQ,98.41,ATX,gold,750,Semi,,2023-12-17
SeaSonic S12III,69.0,ATX,bronze,650,false,Black,2023-12-17
Corsair RM650,224.98,ATX,gold,650,Full,Black,2023-12-17
Thermaltake Toughpower GF3 Snow,234.98,ATX,gold,1200,Full,White,2023-12-17
EVGA 650 BQ,84.99,ATX,bronze,650,Semi,,2023-12-17
SeaSonic FOCUS Plus Platinum,159.99,ATX,platinum,750,Full,,2023-12-17
Corsair RM850x (2018),175.0,ATX,gold,850,Full,Black,2023-12-17
Thermaltake Toughpower GF A3 Snow,114.99,ATX,gold,850,Full,White,2023-12-17
Cooler Master V650 V2,128.53,ATX,gold,650,Full,White,2023-12-17
Corsair RM750x (2018),175.86,ATX,gold,750,Full,Black,2023-12-17
Super Flower Leadex Titanium,699.99,ATX,titanium,1600,Full,Black,2023-12-17
Gigabyte P850GM,149.0,ATX,gold,850,Full,Black,2023-12-17
EVGA SuperNOVA 750 GM,134.99,SFX,gold,750,Full,Black,2023-12-17
EVGA 750 B5,99.99,ATX,bronze,750,Full,Black,2023-12-17
Cooler Master MasterWatt 550,91.71,ATX,bronze,550,Semi,,2023-12-17
MSI MPG A750GF WHITE,199.16,ATX,gold,750,Full,White,2023-12-17
EVGA 750 N1,65.8,ATX,,750,false,,2023-12-17
Corsair HX850,134.99,ATX,platinum,850,Full,Black,2023-12-17
Raidmax Cobra,49.99,ATX,bronze,700,false,,2023-12-17
Rosewill HIVE,84.99,ATX,bronze,850,Full,,2023-12-17
SeaSonic FOCUS GX,179.99,ATX,gold,1000,Full,Black,2023-12-17
Deepcool PQ1000M,124.99,ATX,gold,1000,Full,Black,2023-12-17
Apevia CAPTAIN,31.99,ATX,,550,false,Black,2023-12-17
Asus ROG-STRIX-850G,134.99,ATX,gold,850,Full,Black,2023-12-17
Asus ROG THOR P2 Gaming,139.99,ATX,platinum,850,Full,Black / Silver,2023-12-17
EVGA 500 GD,80.02,ATX,gold,500,false,Black,2023-12-17
NZXT C1200,209.99,ATX,gold,1200,Full,Black,2023-12-17
Logisys PS480D2,16.98,ATX,,480,false,,2023-12-17
be quiet! Dark Power Pro 13,429.9,ATX,titanium,1600,Full,Black,2023-12-17
be quiet! System Power 10,114.22,ATX,bronze,450,false,Black,2023-12-17
Asus ROG THOR P2 Gaming,279.99,ATX,platinum,1000,Full,Silver / Black,2023-12-17
EVGA SuperNOVA 1600 T2,689.0,ATX,titanium,1600,Full,,2023-12-17
SeaSonic S12III,65.44,ATX,bronze,500,false,Black,2023-12-17
EVGA 700 GD,84.99,ATX,gold,700,false,Black,2023-12-17
Corsair RM750 (2019),212.99,ATX,gold,750,Full,Black,2023-12-17
Asus ROG THOR P2 Gaming,314.99,ATX,platinum,1200,Full,Silver / Black,2023-12-17
be quiet! System Power 10,140.81,ATX,bronze,650,false,Black,2023-12-17
Gigabyte P450B,58.46,ATX,bronze,450,false,Black,2023-12-17
NZXT C1000 (2022),154.99,ATX,gold,1000,Full,Black,2023-12-17
Cooler Master MWE GOLD 750 V2 FULL MODULAR,179.3,ATX,gold,750,Full,Black,2023-12-17
Asus TUF Gaming 1000G,162.0,ATX,gold,1000,Full,Black,2023-12-17
Gigabyte UD1000GM,129.99,ATX,gold,1000,Full,Black,2023-12-17
Enermax REVOLUTION D.F. 2,99.99,ATX,gold,850,Full,Black,2023-12-17
Corsair RM1000x SHIFT,209.99,ATX,gold,1000,Full / Side,Black,2023-12-17
be quiet! System Power 10,146.9,ATX,bronze,750,false,Black,2023-12-17
CoolMax I-500,26.68,ATX,,500,false,,2023-12-17
EVGA 650BP,59.99,ATX,bronze,650,false,Black,2023-12-17
be quiet! Pure Power 11,131.41,ATX,gold,400,false,Black,2023-12-17
Thermaltake Toughpower GF3 TT Premium,261.92,ATX,gold,1650,Full,Black,2023-12-17
be quiet! Pure Power 12 M,104.9,ATX,gold,650,Full,Black,2023-12-17
Phanteks Revolt SFX,139.99,SFX,platinum,850,Full,Black,2023-12-17
Enermax REVOLUTION D.F. 2,119.99,ATX,gold,1050,Full,Black,2023-12-17
Thermaltake Smart BM3,79.98,ATX,bronze,750,Semi,Black,2023-12-17
EVGA 650 N1,58.99,ATX,,650,false,,2023-12-17
Corsair RM1000x,245.0,ATX,gold,1000,Full,,2023-12-17
Corsair RM1200x SHIFT,229.99,ATX,gold,1200,Full / Side,Black,2023-12-17
ADATA XPG CORE Reactor 750,147.45,ATX,gold,750,Full,Black,2023-12-17
be quiet! Straight Power 12,219.9,ATX,platinum,1000,Full,Black,2023-12-17
Deepcool PQ850M,99.99,ATX,gold,850,Full,Black,2023-12-17
MSI MPG A750GF,104.99,ATX,gold,750,Full,Black,2023-12-17
Corsair RM850x SHIFT,159.99,ATX,gold,850,Full / Side,Black,2023-12-17
SeaSonic SSP-300TBS,75.63,TFX,bronze,300,false,Silver,2023-12-17
SeaSonic VERTEX PX-1000,279.99,ATX,platinum,1000,Full,Black / Silver,2023-12-17
SeaSonic PRIME PX-1600 ATX 3.0,509.99,ATX,platinum,1600,Full,Black / Silver,2023-12-17
Silverstone Strider,99.99,ATX,bronze,700,Full,,2023-12-17
Cooler Master V1200,306.89,ATX,platinum,1200,Full,,2023-12-17
Thermaltake Toughpower GF1 - TT Premium,172.4,ATX,gold,1200,Full,Black,2023-12-17
Cooler Master V1300 Platinum,399.9,ATX,platinum,1300,Full,Black,2023-12-17
Deepcool DQ650-M-V2L,193.0,ATX,gold,650,Full,Black,2023-12-17
Super Flower Leadex V Pro,169.99,ATX,gold,1000,Full,Black / Gold,2023-12-17
Cooler Master V650,129.99,ATX,gold,650,Full,,2023-12-17
Xilence XP400R6,82.61,ATX,,400,false,Black / Red,2023-12-17
PC Power & Cooling Silencer,302.63,ATX,platinum,1200,Full,,2023-12-17
"FSP Group Hydro PTM X PRO,Gen5",284.99,ATX,platinum,1200,Full,Black,2023-12-17
EVGA 500 BA,139.99,ATX,bronze,500,false,Black,2023-12-17
ADATA XPG Core Reactor II,94.99,ATX,gold,650,Full,Black,2023-12-17
Enermax Platimax D.F.,139.99,ATX,platinum,1050,Full,Black,2023-12-17
Silverstone Strider Titanium,327.99,ATX,titanium,1100,Full,Black / Blue,2023-12-17
Cooler Master GX III GOLD,159.99,ATX,gold,750,Full,Black / Purple,2023-12-17
Silverstone Essential,119.99,ATX,gold,650,false,Black,2023-12-17
Fractal Design Ion+ 2 Platinum,194.0,ATX,platinum,560,Full,Black,2023-12-17
Sparkle FSP300-60ATV,59.99,ATX,,300,false,,2023-12-17
SeaSonic PRIME Ultra Platinum 750,179.99,ATX,platinum,750,Full,Black,2023-12-17
Xilence XP1050MR9,222.29,ATX,gold,1050,Full,Black / Red,2023-12-17
Athena Power Apollo,49.99,SFX,,300,false,,2023-12-17
EVGA 710 BP,89.99,ATX,bronze,710,false,Black,2023-12-17
Cougar BXM750,74.99,ATX,bronze,750,Semi,Orange / Black,2023-12-17
In Win P85,128.34,ATX,gold,850,Full,Black,2023-12-17
be quiet! Straight Power 11 450W,229.0,ATX,gold,450,Full,,2023-12-17
Corsair HX650,316.95,ATX,gold,650,Semi,,2023-12-17
Silverstone Essential,103.99,ATX,gold,750,false,Black / Yellow,2023-12-17
Super Flower Leadex Platinum,599.99,ATX,platinum,1600,Full,Black,2023-12-17
Antec NE1300G M ATX3.0,219.99,ATX,gold,1300,Full,Black,2023-12-17
Thermaltake Smart SE,240.47,ATX,,630,Semi,,2023-12-17
SeaSonic FOCUS Gold,140.91,ATX,gold,750,Semi,,2023-12-17
FSP Group Hydro PTM PRO,129.99,ATX,platinum,850,Full,Black,2023-12-17
SeaSonic VERTEX GX-750,169.99,ATX,gold,750,Full,Black / Silver,2023-12-17
CoolMax V-500,29.78,ATX,,500,false,,2023-12-17
Cougar GEX,141.43,ATX,gold,650,Full,Black,2023-12-17
Antec Signature Platinum,263.05,ATX,platinum,1000,Full,Black,2023-12-17
SeaSonic PRIME PX,355.59,ATX,platinum,850,Full,Black / Silver,2023-12-17
Cougar VTE X2,82.98,ATX,plus,750,false,Black,2023-12-17
Xilence XP550R9,140.0,ATX,gold,550,false,Black / Red,2023-12-17
Silverstone TX300,68.98,TFX,bronze,300,false,Black,2023-12-17
Apex AL-8250SFX,77.71,SFX,,250,false,,2023-12-17
PC Power & Cooling PM0600,98.41,ATX,bronze,600,Semi,Black / Red,2023-12-17
Enermax Revolution D.F. X,129.99,ATX,gold,850,Full,Black,2023-12-17
Thermaltake Smart Pro RGB,199.99,ATX,bronze,750,Full,,2023-12-17
ADATA XPG Core Reactor II,104.99,ATX,gold,750,Full,Black,2023-12-17
SeaSonic SSP-300SUG,94.99,Flex ATX,gold,300,false,,2023-12-17
Corsair HX750,273.99,ATX,gold,750,Semi,,2023-12-17
Corsair AX850,499.99,ATX,gold,850,Full,,2023-12-17
SeaSonic PRIME Platinum,266.99,ATX,platinum,1000,Full,,2023-12-17
Super Flower Leadex V Pro,164.99,ATX,gold,1000,Full,White,2023-12-17
Corsair HX1050,399.0,ATX,gold,1050,Semi,,2023-12-17
Corsair RM650x,203.4,ATX,gold,650,Full,,2023-12-17
Asus ROG Strix Aura Edition,176.67,ATX,gold,750,Full,Black,2023-12-17
EVGA SuperNOVA G FTW,174.99,ATX,gold,1000,Full,Black,2023-12-17
EVGA SuperNOVA 850G XC,144.99,ATX,gold,850,Full,Black,2023-12-17
be quiet! SFX Power 3 300,85.01,SFX,bronze,300,false,Black,2023-12-17
Silverstone Strider Titanium,355.99,ATX,titanium,1300,Full,Black / Blue,2023-12-17
Thermaltake Toughpower SFX,164.98,SFX,gold,750,Full,Black,2023-12-17
EVGA SuperNOVA 650 P6,129.99,ATX,platinum,650,Full,Black / Silver,2023-12-17
Silverstone TX500-G,145.6,TFX,gold,500,false,Black,2023-12-17
Antec NE1000G M ATX3.0,164.99,ATX,gold,1000,Full,Black,2023-12-17
Thermaltake Smart BX1 RGB 650,136.94,ATX,bronze,650,false,Black,2023-12-17
Antec Signature Platinum,267.13,ATX,platinum,1300,Full,Black,2023-12-17
Silverstone SX-G,139.99,SFX,gold,700,Full,Black,2023-12-17
EVGA 610 BP,69.98,ATX,bronze,610,false,Black,2023-12-17
SeaSonic FOCUS Gold,125.37,ATX,gold,650,Semi,,2023-12-17
Raidmax XT,30.99,ATX,,400,false,,2023-12-17
Enermax Revolution D.F. X,169.99,ATX,gold,1200,Full,Black,2023-12-17
Silverstone Strider Platinum,140.8,ATX,platinum,550,Full,,2023-12-17
ADATA XPG Core Reactor II,149.99,ATX,gold,1000,Full,Black,2023-12-17
SeaSonic FOCUS,115.98,ATX,gold,550,Semi,Black,2023-12-17
FSP Group Dagger Pro,159.99,SFX,gold,850,Full,Black / Gold,2023-12-17
Silverstone SFX,169.99,SFX,platinum,700,Full,,2023-12-17
Cooler Master MWE Gold 1050 - V2,625.0,ATX,gold,1050,Full,Black,2023-12-17
Gigabyte UD1300GM PG5,194.99,ATX,gold,1300,Full,Black,2023-12-17
FSP Group FSP300-60LG,148.02,Mini ITX,bronze,300,false,,2023-12-17
Gigabyte UD1000GM PG5,184.38,ATX,gold,1000,Full,Black,2023-12-17
"FSP Group Hydro PTM PRO,Gen5",264.99,ATX,platinum,1200,Full,Black,2023-12-17
SeaSonic PRIME,166.99,ATX,gold,750,Full,Black,2023-12-17
Corsair VS500,199.93,ATX,plus,500,false,,2023-12-17
SeaSonic VERTEX PX-750,219.99,ATX,platinum,750,Full,Black / Silver,2023-12-17
Silverstone Strider,114.99,ATX,gold,550,Full,,2023-12-17
Rosewill Green,80.0,ATX,plus,430,false,,2023-12-17
Rosewill Green,170.0,ATX,plus,530,false,,2023-12-17
FSP Group FSP300-60LG-5K,153.74,Flex ATX,bronze,300,false,,2023-12-17
SeaSonic SS-850HT Silver,169.0,ATX,silver,850,false,,2023-12-17
In Win IP-S300FF1-0,66.42,TFX,plus,300,false,,2023-12-17
Sparkle ATX-300PA,189.99,ATX,,300,false,,2023-12-17
Gigabyte UD-GM PG5,121.99,ATX,gold,850,Full,Black,2023-12-17
SeaSonic SS-600ES,101.1,ATX,bronze,600,false,Gray,2023-12-17
SeaSonic Platinum,134.69,ATX,bronze,600,false,,2023-12-17
Corsair VS400,369.0,ATX,plus,400,false,,2023-12-17
be quiet! TFX Power 3 300,129.28,TFX,gold,300,false,Black,2023-12-17
Sparkle ATX-350PN-B204,57.99,ATX,,350,false,,2023-12-17
ADATA XPG FUSION 1600,569.99,ATX,titanium,1600,Full,Black / Silver,2023-12-17
In Win P65,124.0,ATX,gold,650,Full,Black,2023-12-17
EVGA SuperNOVA 850 GA,350.0,ATX,gold,850,Full,,2023-12-17
Thermaltake Toughpower GF2 ARGB,307.99,ATX,gold,850,Full,Black,2023-12-17
Apex AL-A400ATX,94.0,ATX,,400,false,,2023-12-17
SeaSonic SS-400ET Bronze,98.0,ATX,bronze,400,false,,2023-12-17
SeaSonic PRIME Ultra Platinum 850,359.99,ATX,platinum,850,Full,Black,2023-12-17
SeaSonic SS-300ES Bronze,104.44,ATX,bronze,300,false,,2023-12-17
Super Flower Leadex Gold,299.99,ATX,gold,1300,Full,,2023-12-17
In Win PB,150.0,ATX,gold,750,Full,,2023-12-17
Rosewill Capstone,269.0,ATX,gold,750,false,,2023-12-17
Antec Earthwatts,124.98,ATX,bronze,500,false,,2023-12-17
Kingwin ABT-1050MM,94.98,ATX,,1050,false,,2023-12-17
Enermax MaxTytan,369.99,ATX,titanium,1050,Full,,2023-12-17
Super Flower Leadex III ARGB Pro,189.0,ATX,gold,750,Full,Black,2023-12-17
ADATA XPG Core Reactor II,184.99,ATX,gold,1200,Full,Black,2023-12-17
Antec Basiq,88.34,ATX,,350,false,,2023-12-17
Athena Power AP-MFATX50P8,178.99,Flex ATX,silver,500,false,,2023-12-17
Antec True Power,252.83,ATX,bronze,850,Full,,2023-12-17
Antec Earthwatts Green,104.64,ATX,bronze,430,false,,2023-12-17
Gigabyte UD-GM PG5,139.99,ATX,gold,850,Full,White,2023-12-17
Apex SL-275TFX,45.95,TFX,,275,false,,2023-12-17
Corsair CX400,249.0,ATX,plus,400,false,,2023-12-17
Rosewill VALENS-600,140.0,ATX,gold,600,false,,2023-12-17
Zalman zm-500-LE,199.99,ATX,,500,false,,2023-12-17
FSP Group Hydro PTM PRO,119.99,ATX,platinum,650,Full,Black,2023-12-17
Thermaltake Toughpower Grand RGB Platinum,269.99,ATX,platinum,1200,Full,Black,2023-12-17
Enermax MAXREVO SLI,199.0,ATX,gold,1350,Full,Black / Gold,2023-12-17
Silverstone ST85F-GS-V2,130.46,ATX,gold,850,Full,,2023-12-17
Silverstone Essential,90.98,ATX,gold,550,Semi,Black,2023-12-17
Thermaltake Toughpower GF2 ARGB,126.0,ATX,gold,650,Full,Black,2023-12-17
Super Flower Leadex V Platinum Pro,209.99,ATX,platinum,1000,Full,White,2023-12-17
Fractal Design Anode Bronze,152.81,ATX,bronze,550,Semi,Black,2023-12-17
Corsair HX1000,479.99,ATX,plus,1000,Semi,,2023-12-17
Cougar GEX X2,635.0,ATX,gold,1000,Full,Black,2023-12-17
Silverstone NJ700,309.63,ATX,titanium,700,Full,Silver,2023-12-17
Silverstone Essential,105.67,ATX,gold,750,Semi,Black / Blue,2023-12-17
Thermaltake Toughpower iRGB PLUS 750,219.99,ATX,gold,750,Full,Black,2023-12-17
Antec Earthwatts Green,108.11,ATX,plus,500,false,,2023-12-17
Corsair VX550,197.66,ATX,plus,550,false,,2023-12-17
Xilence XP850MR9,253.0,ATX,gold,850,Semi,Black / Red,2023-12-17
Thermaltake Smart SE,149.0,ATX,,530,Semi,Black,2023-12-17
Silverstone Strider,303.16,ATX,silver,1500,false,,2023-12-17
Thermaltake Toughpower PF1 - TT Premium Edition,308.69,ATX,platinum,1050,Full,Black,2023-12-17
Fractal Design Ion Gold,161.79,ATX,gold,650,Full,Black,2023-12-17
FSP Group Hydro GE,99.99,ATX,gold,650,Full,,2023-12-17
Logisys PS550E12BK,39.99,ATX,,550,false,,2023-12-17
FSP Group Hydro PTM PRO,199.99,ATX,platinum,1000,Full,Black,2023-12-17
Corsair AX650,250.0,ATX,gold,650,Full,,2023-12-17
SeaSonic G,188.08,ATX,gold,450,Semi,,2023-12-17
XFX TS,158.91,ATX,gold,550,false,,2023-12-17
Enermax Platimax,399.99,ATX,platinum,1350,Full,Black,2023-12-17
Fractal Design Anode Bronze,150.16,ATX,bronze,750,Semi,Black,2023-12-17
EVGA SuperNOVA 750 PQ,210.0,ATX,platinum,750,Semi,Black,2023-12-17
SHARKOON SilentStorm,123.67,SFX,bronze,450,false,Black,2023-12-17
FSP Group FSP500-50FSPT,198.99,Flex ATX,platinum,500,false,,2023-12-17
SeaSonic PRIME Ultra Gold 850,189.99,ATX,gold,850,Full,Black,2023-12-17
Cougar VTE X2,67.98,ATX,plus,600,false,Black,2023-12-17
Thermaltake TOUGHPOWER PF1 ARGB,299.99,ATX,platinum,850,Full,,2023-12-17
Thermaltake Smart,196.81,ATX,bronze,750,Semi,,2023-12-17
Athena Power AP-MTFX30,36.99,TFX,,300,false,,2023-12-17
SeaSonic PRIME Ultra Gold 750,166.99,ATX,gold,750,Full,Black,2023-12-17
Thermaltake Hamburg,123.0,ATX,plus,530,false,Black,2023-12-17
Athena Power AP-MFATX40P8,117.4,Flex ATX,bronze,400,false,,2023-12-17
Silverstone Strider Platinum,149.99,ATX,platinum,750,Full,,2023-12-17
Silverstone Strider Platinum,131.59,ATX,platinum,650,Full,,2023-12-17
Super Flower Leadex VI Platinum PRO,159.99,ATX,platinum,850,Full,Black / Blue,2023-12-17
SeaSonic VERTEX PX-850,239.99,ATX,platinum,850,Full,Black / Silver,2023-12-17
Razer Katana Chroma,209.99,ATX,platinum,850,Full,Black,2023-12-17
Cooler Master V850 Gold i,143.22,ATX,gold,850,Full,Black / Gold,2023-12-17
Silverstone SST-TX300,74.98,TFX,bronze,300,false,Black,2023-12-17
Thermaltake Toughpower GF2 ARGB,99.99,ATX,gold,750,Full,Black,2023-12-17
Super Flower Leadex V Platinum Pro,169.99,ATX,platinum,850,Full,White,2023-12-17
GameMax RGB,179.99,ATX,platinum,1300,Full,Black,2023-12-17
Corsair HX1200i,599.0,ATX,platinum,1200,Full,,2023-12-17
Silverstone Extreme 850R Platinum,223.87,SFX,platinum,850,Full,Black,2023-12-17
FSP Group Dagger Pro,149.99,SFX,gold,750,Full,Black / Gold,2023-12-17
Silverstone SX700-PT,159.99,SFX,platinum,700,Full,Black,2023-12-17
Fractal Design Ion+ 2 Platinum,568.0,ATX,platinum,860,Full,Black,2023-12-17
Super Flower Leadex Platinum,124.99,ATX,platinum,850,Full,Black,2023-12-17
EVGA SuperNOVA 650 G7,94.99,ATX,gold,650,Full,Black / Blue,2023-12-17
SHARKOON SilentStorm Cool Zero 650,150.88,ATX,gold,650,Full,Black,2023-12-17
Corsair RM850x White,339.99,ATX,gold,850,Full,White / Black,2023-12-17
SeaSonic Prime Fanless PX-500,281.67,ATX,platinum,500,Full,Black,2023-12-17
EVGA SuperNOVA 850 GA,235.99,ATX,gold,850,Full,Black,2023-12-17
Corsair CX750,239.95,ATX,bronze,750,false,,2023-12-17
SeaSonic FOCUS,150.98,ATX,platinum,650,Full,Black,2023-12-17
SeaSonic VERTEX GX-850,194.99,ATX,gold,850,Full,Black / Silver,2023-12-17
Cooler Master MWE Bronze,89.95,ATX,bronze,500,false,Black,2023-12-17
FSP Group Dagger Pro,135.99,SFX,gold,650,Full,Black,2023-12-17
SeaSonic PRIME Fanless,299.99,ATX,titanium,700,Full,Black,2023-12-17
Thermaltake Smart RGB 230V,158.0,ATX,plus,500,false,Black,2023-12-17
SeaSonic FOCUS SPX (2021),194.99,SFX,platinum,750,Full,Black,2023-12-17
ADATA XPG CYBERCORE,249.99,ATX,platinum,1300,Full,Black / Silver,2023-12-17
Gigabyte AORUS P GM,199.05,ATX,gold,750,Full,Black / Silver,2023-12-17
Silverstone Essential,77.98,ATX,gold,550,false,Black / Yellow,2023-12-17
Super Flower Leadex Titanium,239.99,ATX,titanium,850,Full,Black,2023-12-17
SeaSonic PRIME Ultra Titanium,249.99,ATX,titanium,850,Full,,2023-12-17
PowerSpec GFM,89.99,ATX,gold,750,Full,Black,2023-12-17
EVGA SuperNOVA 850 G6,176.07,ATX,gold,850,Full,Black,2023-12-17
SeaSonic G12 GM,123.1,ATX,gold,550,Semi,Black / Blue,2023-12-17
EVGA SuperNOVA 1300 G+,294.98,ATX,gold,1300,Full,Black,2023-12-17
Montech TITAN GOLD 1200W,169.99,ATX,gold,1200,Full,Black,2023-12-17
Corsair RM850 (2019),216.79,ATX,gold,850,Full,Black,2023-12-17
GAMDIAS KRATOS M1 B,79.98,ATX,bronze,750,false,Black,2023-12-17
Thermaltake TR2 S,119.84,ATX,plus,700,false,Black,2023-12-17
Corsair HX850i,396.0,ATX,platinum,850,Full,,2023-12-17
EVGA 850 B5,117.12,ATX,bronze,850,Full,Black,2023-12-17
Corsair RM650,222.19,ATX,gold,650,Full,,2023-12-17
Fractal Design Ion Gold,192.75,ATX,gold,850,Full,Black,2023-12-17
EVGA SuperNOVA 750 GA,232.99,ATX,gold,750,Full,Black,2023-12-17
EVGA N1,54.99,ATX,,550,false,,2023-12-17
Silverstone FX350-G,97.99,Flex ATX,gold,350,false,Black,2023-12-17
Cooler Master MWE Gold V2 ATX3.0,179.99,ATX,gold,1050,Full,Black,2023-12-17
Super Flower LEADEX VII XG,189.99,ATX,gold,1300,Full,Black,2023-12-17
Silverstone Essential,59.99,ATX,bronze,550,false,Black,2023-12-17
Xilence XP500R6,94.8,ATX,,500,false,Black / Red,2023-12-17
be quiet! System Power 9,115.07,ATX,bronze,600,false,Black,2023-12-17
Asus TUF Gaming B,86.31,ATX,bronze,550,false,Black,2023-12-17
be quiet! Dark Power Pro 11,119.9,ATX,platinum,650,Semi,,2023-12-17
be quiet! System Power 9 CM,143.53,ATX,bronze,400,Semi,Black,2023-12-17
GameMax GX Pro Rampage,119.99,ATX,gold,850,Full,White,2023-12-17
SeaSonic FOCUS Plus Platinum,149.99,ATX,platinum,650,Full,,2023-12-17
EVGA SuperNOVA 750 G6,133.6,ATX,gold,750,Full,Black,2023-12-17
Logisys PS480D,16.98,ATX,,480,false,,2023-12-17
Silverstone SFX,73.98,SFX,bronze,300,false,Black,2023-12-17
Corsair HX1000i (2022),300.0,ATX,platinum,1000,Full,Black,2023-12-17
EVGA GE,79.98,ATX,gold,600,false,Black,2023-12-17
Enermax REVOLUTION D.F. 2,119.99,ATX,gold,1200,Full,Black,2023-12-17
