name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,snapshot_date,microarchitecture
Intel Xeon E5-2630 V3,169.95,8,2.4,3.2,85,,True,2023-08-06,
Intel Core i3-530,49.98,2,2.93,,73,Intel HD Graphics,True,2023-08-06,
Intel Pentium G2020,34.99,2,2.9,,55,Intel HD Graphics,False,2023-08-06,
Intel Xeon E5-1660 V3,398.95,8,3.0,3.5,140,,True,2023-08-06,
Intel Core i3-8100,232.6,4,3.6,,65,Intel UHD Graphics 630,False,2023-08-06,
Intel Xeon E5-2620 V4,259.99,8,2.1,3.0,85,,True,2023-08-06,
Intel Core i9-7900X,1498.95,10,3.3,4.5,140,,True,2023-08-06,
Intel Core 2 Duo E7300,28.2,2,2.66,,65,,False,2023-08-06,
AMD A10-7700K,132.86,4,3.4,3.8,95,Radeon R7 (on-die),False,2023-08-06,
Intel Core i7-960,349.0,4,3.2,,130,,True,2023-08-06,
Intel Core i5-760,100.0,4,2.8,,95,,False,2023-08-06,
Intel Core i7-3960X Extreme Edition,274.85,6,3.3,,130,,True,2023-08-06,
Intel Core i9-7980XE,1698.95,18,2.6,4.4,165,,True,2023-08-06,
Intel Core i5-7600T,147.91,4,2.8,3.7,35,Intel HD Graphics 630,False,2023-08-06,
Intel Celeron G4920,69.95,2,3.2,,65,Intel UHD Graphics 610,False,2023-08-06,
Intel Xeon E5-4620,52.0,8,2.2,2.6,95,,True,2023-08-06,
Intel Core i5-8500,165.0,6,3.0,4.1,65,Intel UHD Graphics 630,False,2023-08-06,
Intel Core i5-4570T,128.8,2,2.9,,35,Intel HD Graphics 4600,True,2023-08-06,
Intel Core i3-7320,80.01,2,4.1,,51,Intel HD Graphics 630,True,2023-08-06,
AMD A6-7400K,104.75,2,3.5,3.9,65,Radeon R5 (on die),False,2023-08-06,
Intel Core i3-3210,70.0,2,3.2,,55,Intel HD Graphics 2500,True,2023-08-06,
Intel Core i7-930,257.27,4,2.8,,130,,True,2023-08-06,
Intel Core i5-4570S,145.35,4,2.9,,65,Intel HD Graphics 4600,False,2023-08-06,
Intel Core i9-9960X,1399.99,16,3.1,4.4,165,,True,2023-08-06,
Intel Core i3-3250,70.0,2,3.5,,55,Intel HD Graphics 2500,True,2023-08-06,
AMD A10-7870K,324.6,4,3.9,4.1,95,Radeon R7 (on-die),False,2023-08-06,
Intel Xeon E3-1270 V3,420.0,4,3.5,3.9,80,,True,2023-08-06,
Intel Core i7-7740X,210.0,4,4.3,4.5,112,,True,2023-08-06,
Intel Xeon E3-1220 V3,100.99,4,3.1,3.5,80,,False,2023-08-06,
Intel Core i3-6300,90.03,2,3.8,,51,Intel HD Graphics 530,True,2023-08-06,
Intel Core i5-9600KF,314.99,6,3.7,4.6,95,,False,2023-08-06,
AMD Athlon X4 845,150.0,4,3.5,3.8,65,,False,2023-08-06,
Intel Xeon E3-1230 V5,298.95,4,3.4,3.8,80,,True,2023-08-06,
Intel Core i3-8300,95.0,4,3.7,,62,Intel UHD Graphics 630,False,2023-08-06,
Intel Core i3-6100,209.95,2,3.7,,51,Intel HD Graphics 530,True,2023-08-06,
AMD A6-6400K,95.0,2,3.9,,65,Radeon HD 8470D,False,2023-08-06,
Intel Core 2 Duo E7500,99.63,2,2.93,,65,,False,2023-08-06,
Intel Xeon E-2236,435.0,6,3.4,4.8,80,,True,2023-08-06,
AMD A12-9800,160.0,4,3.8,4.2,65,Radeon R7 (on-die),False,2023-08-06,
AMD Athlon II X4 630,52.6,4,2.8,,95,,False,2023-08-06,
Intel Xeon E3-1230 V3,325.8,4,3.3,3.7,80,,True,2023-08-06,
Intel Pentium E6600,50.0,2,3.06,,65,,False,2023-08-06,
Intel Xeon E5-2660 V3,135.1,10,2.6,3.3,105,,True,2023-08-06,
Intel Core i3-4340,60.0,2,3.6,,54,Intel HD Graphics 4600,True,2023-08-06,
Intel Xeon E5-2620,58.0,6,2.0,,95,,True,2023-08-06,
Intel Xeon E3-1240 V6,498.95,4,3.7,4.1,72,,True,2023-08-06,
Intel Xeon E3-1225 V6,499.88,4,3.3,3.7,73,Intel HD Graphics P630,False,2023-08-06,
Intel Xeon E3-1230 V6,595.49,4,3.5,3.9,72,,True,2023-08-06,
Intel Xeon E3-1285 V6,949.95,4,4.1,4.5,79,Intel HD Graphics 630,True,2023-08-06,
Intel Xeon E5-2670,184.91,8,2.6,3.3,115,,True,2023-08-06,
Intel Xeon E5-2623 V3,229.95,4,3.0,3.5,105,,True,2023-08-06,
Intel Core i5-7600T,229.95,4,2.8,3.7,35,Intel HD Graphics 630,False,2023-08-06,
Intel Xeon E-2124G,645.0,4,3.4,4.5,71,Intel HD Graphics P630,False,2023-08-06,
Intel Core 2 Duo E6320,198.95,2,1.86,,65,,False,2023-08-06,
Intel Core i5-670,122.45,2,3.46,,73,Intel HD Graphics,True,2023-08-06,
